SSC-HYGROTERM-LOGFILE als CSV-Liste
Spalten:
Datum-Zeit T:M:YYYY Std:Min:Sek, Raumtemperatur in °C, Relative Luftfeute in %, Luftdruck in hPa, Taupunkt 100%, Absulute Luftfeuchte in g/m³,Lipo Spannung in V
2.11.2018 7:6:36,20.43,55.8,986.89,11.31,9.89,3.65
2.11.2018 7:7:35,20.42,55.7,986.89,11.28,9.87,3.65
2.11.2018 7:8:34,20.41,55.9,986.87,11.32,9.90,3.65
2.11.2018 7:9:33,20.41,55.9,986.87,11.31,9.89,3.65
2.11.2018 7:10:32,20.40,56.0,986.85,11.34,9.91,3.65
2.11.2018 7:11:31,20.39,55.6,986.83,11.23,9.84,3.65
2.11.2018 7:12:30,20.39,55.3,986.81,11.14,9.78,3.65
2.11.2018 7:13:30,20.38,55.9,986.79,11.28,9.87,3.65
2.11.2018 7:14:29,20.38,55.8,986.78,11.26,9.86,3.65
2.11.2018 7:15:28,20.37,55.7,986.77,11.23,9.84,3.65
2.11.2018 7:16:27,20.37,55.7,986.76,11.24,9.84,3.65
2.11.2018 7:17:26,20.36,55.6,986.75,11.20,9.82,3.64
2.11.2018 7:18:25,20.36,55.6,986.75,11.18,9.81,3.64
2.11.2018 7:19:24,20.36,55.7,986.74,11.22,9.83,3.65
2.11.2018 7:20:23,20.35,55.9,986.71,11.26,9.86,3.64
2.11.2018 7:21:22,20.35,56.0,986.70,11.30,9.88,3.65
2.11.2018 7:22:21,20.35,56.1,986.67,11.32,9.90,3.65
2.11.2018 7:23:20,20.35,55.9,986.66,11.25,9.85,3.65
2.11.2018 7:24:19,20.34,55.7,986.64,11.20,9.82,3.65
2.11.2018 7:25:18,20.34,55.8,986.63,11.22,9.83,3.65
2.11.2018 7:26:18,20.34,55.7,986.62,11.20,9.82,3.65
2.11.2018 7:27:17,20.33,56.0,986.60,11.27,9.87,3.65
2.11.2018 7:28:16,20.33,55.8,986.59,11.23,9.84,3.65
2.11.2018 7:29:15,20.33,55.9,986.58,11.25,9.85,3.64
2.11.2018 7:30:14,20.32,55.9,986.56,11.23,9.84,3.64
2.11.2018 7:31:13,20.32,55.7,986.54,11.18,9.81,3.65
2.11.2018 7:32:12,20.32,55.5,986.55,11.14,9.78,3.65
2.11.2018 7:33:11,20.31,55.6,986.55,11.13,9.78,3.65
2.11.2018 7:34:10,20.31,55.7,986.55,11.18,9.81,3.65
2.11.2018 7:35:9,20.31,55.8,986.56,11.20,9.82,3.65
2.11.2018 7:36:8,20.30,55.7,986.57,11.17,9.80,3.65
2.11.2018 7:37:7,20.30,55.7,986.57,11.17,9.80,3.65
2.11.2018 7:38:6,20.30,55.7,986.56,11.15,9.79,3.65
2.11.2018 7:39:5,20.30,55.9,986.55,11.23,9.84,3.64
2.11.2018 7:40:5,20.30,56.2,986.54,11.29,9.88,3.64
2.11.2018 7:41:4,20.29,56.0,986.56,11.24,9.85,3.64
2.11.2018 7:42:3,20.29,56.3,986.55,11.30,9.89,3.64
2.11.2018 7:43:2,20.29,56.1,986.54,11.25,9.86,3.65
2.11.2018 7:44:1,20.29,56.1,986.54,11.25,9.86,3.65
2.11.2018 7:45:0,20.29,56.0,986.54,11.22,9.83,3.65
2.11.2018 7:45:59,20.29,56.0,986.54,11.22,9.84,3.65
2.11.2018 7:46:58,20.30,55.9,986.53,11.22,9.84,3.64
2.11.2018 7:47:57,20.30,56.1,986.53,11.26,9.86,3.64
2.11.2018 7:48:56,20.30,55.9,986.52,11.23,9.84,3.64
2.11.2018 7:49:55,20.31,56.0,986.51,11.24,9.85,3.65
2.11.2018 7:50:54,20.32,55.9,986.50,11.25,9.85,3.65
2.11.2018 7:51:53,20.32,56.0,986.51,11.27,9.87,3.65
2.11.2018 7:52:52,20.33,56.0,986.50,11.26,9.86,3.65
2.11.2018 7:53:52,20.34,55.9,986.49,11.26,9.86,3.65
2.11.2018 7:54:51,20.35,56.1,986.50,11.33,9.90,3.65
2.11.2018 7:55:50,20.36,56.0,986.50,11.30,9.89,3.64
2.11.2018 7:56:49,20.37,56.0,986.48,11.30,9.89,3.64
